Topic,Count,Name,Representation,Representative_Docs,topic_name,category
-1,81,-1_家属_维权_情绪_官方,"['家属', '维权', '情绪', '官方', '状态', '虞书欣', '老师', '平台', '费用', '情况']","['近日有大量用户在社交平台发帖称刚买不久的西门子iQ100出现故障包括漏丁基胶不制冷等一位博主发文表示西门子iQ100冰箱集体爆雷西门子拒认设备缺陷不同意换新诉求如果不是批量问题为什么会出现集体爆雷的情况客服话术说是消费者刚好看到的都坏了在维权对每一位消费者都是同样的话术对此罗永浩回应表示iQ100确实是设计不良的劣质产品西门子一直对此装疯卖傻之前我警告西门子后大部分在我这里留言的受害用户得到了及时解决然后很多围观群众说我是网络黑社会他还表示最可笑的是还有问题得到解决的受害用户对我表示感谢时承认当年我砸西门子时他也骂过我最我这辈子经历的很多事要是换到别人身上这个人早就成了仇视人类的恐怖分子了关于西门子iQ100频现故障的情况西门子官方客服表示这款有质保如果商品在包修期内出现自身性能故障售后上门维修是免费的另外咱们机器返修率非常低的我们很多消费者包括我们客服自己都是用的西门子质量上绝对有保障的 评论：这个西门子客服的回应是之前的还是刚刚做的如果是刚刚做的这种回应那就有得看了 || 我家也是西门子冰箱坏了好几次最后压缩机直接坏了避雷这个品牌吧 || 也就敢对西门子国产其他牌子不敢说', '近日孙杨与张豆豆参与综艺引发热议网传其母亲致电节目组删改嘉宾言论等说法四处流传4月29日孙杨工作室发文回应直言相关网传内容毫无事实依据属恶意捏造将依法追究造谣传播者的法律责任在早前综艺节目中张豆豆曾向朱丹表示婚后自己的处事状态很像孙杨妈妈她坦言自己早已习惯以懂事不给他人添麻烦的方式生活朱丹反问张豆豆你会不会给自己背负了太多枷锁那是你老公是最亲密的人张豆豆含泪表示自己内心也十分渴望被包容时常觉得身上背负的枷锁太多朱丹暖心开导张豆豆不必给自己套上过多精神枷锁要多倾听自己的内心情绪与真实心声  中国蓝新闻的微博视频', '业主要求追回物品属合理维权无需担责物业公司需承担赔偿责任近日浙江嘉兴某小区发生一起悲剧一名保洁阿姨突发脑溢血送医抢救无效后死亡事后其家属在社交平台发声引发关注据网络截图显示家属称4月20日该保洁员将业主放在电梯间的纸箱拿走当作废品处理业主随后向物业要求追回次日物业找到保洁员协商保洁员表示愿意赔偿但物业保洁领导不依不饶保洁员情绪激动突发脑溢血倒地4月29日涉事物业工作人员在接受记者采访时表示确有业主将准备退货的快递放在电梯间被保洁阿姨拿走物业在核实情况时发生了意外事发后阿姨被送医住院三天后抢救无效死亡该工作人员称保洁员家属事后已报警警方介入处理目前保洁公司与家属正就费用问题进行协商尚未达成一致 对此知名律师河南泽槿律师事务所主任付建告诉 业主要求追回自己的物品属于合理维权行为不存在过错无需承担责任保洁人员在工作中不慎误拿业主快递构成不当得利理应返还若物业保洁领导从中阻拦导致保洁员情绪激动突发疾病具有过错物业作为用人单位应当为保洁领导在工作期间的行为负责向保洁员承担赔偿责任由于保洁员与物业存在用工关系若能够认定为劳动关系还可能涉及工伤而保洁员本身就具有心脑血管疾病也是导致病发的原因也应当承担部分责任 九派新闻的微博视频 评论：据网络截图显示家属称4月20日该保洁员将业主放在电梯间的纸箱拿走当作废品处理业主随后向物业要求追回次日物业找到保洁员协商保洁员表示愿意赔偿但物业保洁领导不依不饶保洁员情绪激动突发脑溢血倒地 || 该工作人员称保洁员家属事后已报警警方介入处理目前保洁公司与家属正就费用问题进行协商尚未达成一致 || 对此知名律师河南泽槿律师事务所主任付建告诉 业主要求追回自己的物品属于合理维权行为不存在过错无需承担责任']",碎化噪声/非集中讨论,其他
0,37,0_孩子_封神_能力_综艺,"['孩子', '封神', '能力', '综艺', '妈妈', '演员', '时期', '阶段', '观众', '所有人']","['谁能想到这个埋了这么大一个伏笔在这里看到第十集才发现男主冉方旭 其实第一集就死了前面9集都活在别人的幻想里sos小苦瓜天塌了黑夜告白官微的微博视频 评论：评论区主要围绕四个方向展开约35的观众对男主冉方旭第一集死亡表示情感冲击用爆哭天塌了等表达不舍25的争议聚焦剧透式热搜是否破坏观剧体验20的评论肯定双时空叙事和演员演技如王鹤棣与潘粤明的对手戏15的观众理性分析前查看全部戳gt微博智搜 || 冉方旭爸妈就是失踪案变命案没的冉方旭致力查破失踪案又在这过程中被鲨那么执着善良温暖的冉方旭我一定要找出凶手每集都在猜凶手中 || 冉方旭冉队你回来', '凌晨街头的3岁身影别让生活的无奈变成孩子的风险凌晨1点的街头看到这个独自奔跑的3岁娃娃我这个当爸的心里像被揪了一下我理解这位独自带娃务工的妈妈有多难为了生计上夜班她不是不负责任只是被生活逼到了墙角可孩子懵懂的脚步每一步都踩在刀尖上如果不是被路人悄悄跟上如果不是民警及时赶到后果真的不敢细想这件事对所有普通家长来说藏着三个必须直面的真相一别拿孩子的安全赌生活的熬过去我们常为了给孩子更好的未来拼命赚钱可3岁的孩子根本不知道独自出门意味着什么他只知道爸妈不在就要去找他们孩子的安全从来等不起别等意外发生才后悔当初的侥幸二安全常识要从会说话就教起很多家长觉得孩子太小教了也没用可危险从来不会等孩子长大用游戏的方式教他找不到爸妈只找穿制服的人有人强行拉你就大声喊救命爸妈的电话要背下来这些不是小题大做是孩子的第一道保命符三别硬扛求助不是懦弱独自带娃的困境里不用逼自己做无坚不摧的超人和相熟的邻居宝妈互相照应哪怕留个保安的电话急事时也能多一份保障你硬扛的每一分压力都可能变成孩子的安全漏洞民警把孩子护在怀里哄睡的样子看得人心里一暖可这份幸运不该是每个孩子都要赌一次的概率生活再难也别让孩子替我们承担风险平安长大才是给孩子最好的礼物朗爸潘小强育儿手记 朗爸潘小强的微博视频', '确实比起死板说教换个有趣的形式喂给大脑优质的精神食粮才是关键很多语文综艺没有应试味儿还能速通帮孩子补足表达力和文化自信还没上小学的娃强推央视汉字会说话它像个少儿脱口秀孩子们在童言童语里解构汉字这种具象化思维练习比单纯认字重要得多小学阶段别错过跟着课本去旅行把课堂搬进山水孩子亲眼看到黄河之水天上来的壮阔枯燥的背诵自然变成鲜活的记忆初高中阶段山东卫视超级语文课讲透了经典与思辨教会孩子像分析食材一样分析文本逻辑能力升维看得见这些节目补的不是死知识而是让孩子眼里有光谈吐有物的无形养分']",儿童安全与教育综艺,社会民生
1,25,1_妻子_豆豆_节目_刘海,"['妻子', '豆豆', '节目', '刘海', '细节', '争议', '节目组', '游戏', '理性', '孙杨']","['4月30日妻子的浪漫旅行2026新一期上线孙丞潇在节目中为金莎手洗刘海金莎还透露孙丞潇日常会主动分担家务从洗衣做饭到旅行中的琐碎照料爱情需要浪漫更需要细水长流的担当金莎孙丞潇 封面新闻的微博视频 评论：亲手清洗刘海这个细节藏着旁人看不到的温柔 || 不止浪漫还有日常分担这才是爱情最好的模样 || 旅途里琐碎的照料最能考验一段感情的真心', '看孙丞潇给金莎打理刘海动作随性又特别认真上手轻轻揉搓完还下意识用嘴帮她吹着定型      完全不是刻意在镜头前表演的样子就是发自内心的自然宠溺平常私下里早就习惯这样照顾她了      再联想到节目里秦昊问到求婚那段孙丞潇坦然说起两人当初不被外界看好语气沉稳又笃定旁人总纠结年龄差距却忽略了这些生活化的小细节       不用刻意秀恩爱一举一动都是藏不住的真心安稳又踏实这种走心的感情真的特别打动人       外界总爱说他们的年龄差可没人注意到他记得她的饮食禁忌高原徒步背着她走      比起轰轰烈烈的誓言这些藏在细节里的偏爱才是最打动人的 孙丞潇给金莎手洗刘海 余生好好过1978的微博视频 评论：孙丞潇自然照顾金莎如手洗刘海轻揉吹干细节显宠溺节目中坦然回应年龄质疑感情真挚外界聚焦年龄差却忽视了他记住饮食禁忌高原背行等生活化偏爱这种藏在小事中的真心安稳踏实比轰轰烈烈誓言更动人继续提问戳gt微博智搜 || 俩人感情真好 || 两个人感情真好', '马頔发言争议后首发博 整件事起因大家应该都清楚他在综艺里直白说孙杨配不上张豆豆短短一句话直接引爆舆论后续网传孙杨母亲要求节目组删片段虽然孙杨工作室强硬辟谣是恶意捏造但正片里这段直白发言确实被删减反而让整件事变得扑朔迷离 沉寂两天之后马頔终于更新动态整篇文案温柔又克制全程没有提半句本次争议只是感慨旅途温柔夸赞身边女性通透又耀眼还直白表达在爱人身边可以安心做小孩字里行间偏向生活感悟安安静静避开了所有尖锐话题 说实话我觉得他这个发文方式还挺符合他的性格熟悉他的都知道他向来直白随性嘴快又敢说之前就总因为直来直去的发言引发讨论这次没有强硬辩解也没有敷衍道歉选择温柔发文低调翻篇 网上看法真的两极分化有人觉得他实话实说没必要藏着也有人觉得当众评价别人感情很不妥当其实我一直觉得旁人永远看不懂情侣真实的相处模式外人一句随口评判很容易放大成全网争议 不站队不互撕只说个人感受娱乐圈很多争议本就是罗生门当事人沉默留白大众反复揣测发酵比起强行辩白这种安静释怀的态度反而更舒服 独有半枝桃的微博视频 评论：这波操作太高级了既没道歉也没辩解用温柔文案轻轻翻篇 || 节目效果理性吃瓜']",刘海细节争议,娱乐八卦
2,19,2_地方_机会_氛围_行程,"['地方', '机会', '氛围', '行程', '省钱', '动作', '体验', '领域', '现实', '自带']","['我的理解是是某种程度上的自由毕竟单独的空间可以听歌可以遮风挡雨在雨天雪天的时候也能避免打不到车的情况这是开车通勤好的地方而体验不好的地方自然是堵车啊万一遇到事故就得堵很久这些情况开车还需要很操心并非是完全可以享受的事情并且开车通勤的费用也不低肯定要比打车高如何选择还是得看自己更需要什么总体来看开车通勤确实要相对自由也相对轻松', '感觉南方人能做到真正的人车合一 评论：评论区围绕南方人骑电动车丝滑优雅展开热议约45网友赞叹其骑技高超如本能动作流畅仿佛人车合一25特别提到外卖员停车取货一气呵成操作行云流水15提醒骑车分神有风险如闯红灯后怕10表达对学不会骑车者的羡慕整体氛围欢乐查看全部戳gt微博智搜 || 真的南方人电动车骑的那叫一个吓人 || 来广州电鸡周街飞', '以前会觉得堵车是浪费时间但现在才越发明白这是我每天从快节奏里偷来的半小时不用挤地铁不用闻陌生的味道也不用在人潮里低头刷手机关上车门的瞬间这1平米就是我的移动结界只属于我自己早高峰的车流里我会盯着天上的云发呆等红灯的间隙看绿化带里的花草树木下班路上后视镜里的落日和晚霞是零成本的浪漫这半小时我不属于KPI不属于任何人可以放肆跟着歌单大声吼几句也可以安安静静什么都不想所谓的自由从来不是开多快而是在慢下来的时光里拥有和自己相处的松弛感你们也会因为路上的这些小确幸而爱上开车吗 评论：我可以做老婆副驾嘛 || 欢迎加入微博跨域计划跨领域内容添加 话题词有机会获得曝光资源及行业合作机会了解更多戳gtgt']",通勤方式的自由与束缚,社会民生
3,13,3_艺人_公司_舆论_母亲,"['艺人', '公司', '舆论', '母亲', '舞台', '律师', '团队', '流程', '全程', '人员']","['4月29日话题吴宣仪母亲与乐华谈判视频首曝光登上热搜引发热议  母亲在视频中明确表示过去十年间吴宣仪及其家属从未获准查看任何演艺合同包括影视广告等商业合作文本其多次向乐华索要均被以quot合同属于秘密quot为由拒绝乐华法务人员回应称quot经纪公司有权代签合同quot但未正面否认隐瞒合同内容   艺人要看自己的商业合同不给看合法吗 对此上海理振律师事务所律师 表示虽然主合同里可能没明文写必须把每一份合同给艺人审阅但根据法律规定和司法实践知情权是艺人最核心的权利主要涉及人身义务涉及财产利益所以乐华拿行规当挡箭牌一直说是否有合同依据我觉得在法律面前站不住脚吴宣仪 大象新闻的微博视频 评论：建议严查乐华娱乐', '吴宣仪母亲与乐华谈判的画面曝光后不少人都为吴宣仪揪紧了心全程里妈妈反复提及从未见过合同文本言语间难掩局促相较之下公司方却步步紧逼以强势的语气压制着这场沟通入行多年吴宣仪在行业里始终踏实耕耘可从业合同的知情权都未能拥有就连应得的款项流转也全程需经公司之手这样的处境难免让人感慨她这些年的不易艺人的成长与发展本应建立在公平透明的规则之上合约的明确与权益的保障是行业良性运转的基石期待后续能有清晰的真相浮现也盼吴宣仪能被妥善守护在热爱的舞台上继续自在发光远离这些纷扰 评论：吴姐姐你的舞台就是最好的解约函加油期待你的新作品 语音评论6quot || 妈妈的心都在颤抖希望公司能给人情味一点点空间呀 || 这样的操作真的过分期待事情早点有个公正的结果', '不少人其实根本不清楚孙杨妈妈过往一系列操作的破坏力回看整件事的始末就能明白孙杨事业滑落争议缠身她绝对是关键推手 当年长达五小时的国际法庭完整开庭录像早年在视频平台可以完整观看全程场面堪称离谱又震撼她在庭审中逻辑混乱情绪化发言随意打断流程擅自主导沟通不仅让国内观众大跌眼界更让国际仲裁庭人员倍感诧异直接拉低外界印象分给案件埋下巨大隐患 业内一直有共识孙杨当初本有机会争取从轻判罚完全不至于落到八年禁赛的沉重结果正是母亲全程越权干预拒绝专业团队的合理建议强硬对抗检测流程情绪化应对舆论与仲裁一系列错误决策一步步把局势彻底推向无法挽回的地步 不止这次禁赛风波长久以来孙杨妈妈的争议早已堆积如山常年全方位掌控孙杨的生活训练事业与社交强势插手团队管理商务合作舆论公关排挤专业教练和工作人员用极致的保护欲牢牢捆绑儿子遇事从不理性复盘反而习惯强硬回怼网友激化矛盾多次引发舆论混战持续消耗路人缘 过往无数次过激行事边界感全无的管控遇事只会护短蛮不讲理的处事方式早就让她口碑全面崩塌如今网友忍不住调侃以她一贯的行事风格很难不担心她会跨界介入无端打扰李纯马𬱖夫妻的正常生活再度掀起不必要的风波 评论：孙杨妈大闹xxx这个固定搭配多到可以拉清单了 || 奔四的人了怎么一出事儿还在喊他妈妈事情不是他自己做的 || 指不定马上冲到马頔家要个说法']",艺人合同权益争议,娱乐八卦
4,12,4_良性_普通_新闻_压力,"['良性', '普通', '新闻', '压力', '程度', '事实', '高度', '边界', '隐患', '风险']","['注意4月29日苗苗 在自己的vlog中表示我手心的痣不太舒服此前有粉丝留言苗苗手心的痣最好看一下对此苗苗回应发现它变大了医生说是属于良性的一个痣因为它边缘比较清晰那么黑色素瘤和痣应该怎么区分呢要注意手心脚底指甲缝腰部这些经常摩擦的部位长期反复摩擦刺激会增加痣的病变风险就算像苗苗检查后确认是良性一旦出现大小形态体感上的变化也一定要及时就医做皮肤镜检查早排查早安心别把小疏忽拖成大隐患 央视健康河南手机报的微博视频', '4月29日苗苗 在自己的vlog中表示我手心的痣不太舒服此前有粉丝留言苗苗手心的痣最好看一下对此苗苗回应发现它变大了医生说是属于良性的一个痣因为它边缘比较清晰 海报新闻的微博视频 评论：我之前线上问诊 给我吓得不轻 结果去医院了没啥事 || 良性就好没必要过分担心 || 没事就好啊', '这些黑痣暗藏恶变风险需警惕每个人的身上或多或少都有几颗痣它们大多数是良性的皮肤标记但有一种特殊的痣却可能伪装成普通模样在皮肤上悄然生长最终危及生命它就是恶性黑色素瘤一种由黑色素细胞恶变形成的恶性肿瘤因其恶性程度高转移快死亡率高常被称为皮肤癌之王一些长在足底腰带区手掌指甲下等易受摩擦部位的黑痣在长期的机械性刺激下容易发生恶变此外不当的点痣操作使用药水腐蚀冷冻激光等非手术方法反复刺激普通的色素痣也可能诱发其恶变当身上的痣出现以下特征时需高度警惕A Asymmetry 不对称痣的两半看起来不对称B Border 边界不规则边缘不整齐呈锯齿状扇形或有切迹C Color 颜色改变颜色不均匀可能混合了黑色棕色褐色甚至出现红色白色或蓝色D Diameter 直径较大直径通常大于6毫米约普通铅笔上的橡皮擦大小对于长在手掌足底指甲等部位的痣即使较小也应警惕E Evolving 动态变化痣在短期内几周或几个月内大小形状颜色发生明显变化或者突然出现发痒疼痛破溃出血结痂等症状人民日报健康客户端 评论：直径小于6毫米的痣是否就一定没有恶变风险']",良性痣与黑色素瘤风险,社会民生
5,12,5_数据_价格_品牌_动作,"['数据', '价格', '品牌', '动作', '热度', '无语', '观众', '流量', '新闻', '状态']","['这就叫断崖我还以为跌到三四百了呢 评论：涨的时候比跌的时候还要猛 || 小跌叫大跌大涨叫微涨 || 真的太无语了吧', '4月29日国内多家金店品牌金饰价格出现下调数据显示周生生足金饰品报价为1404元克较前一日的1438元克下跌了34元老凤祥足金饰品报价为1415元克较前一日的1439元克下跌了24元六福珠宝足金饰品报价为1408元克较前一日的1440元克下跌了32元周大福足金饰品报价为1410元克较前一日的1442元克下跌了32元央视财经 红星新闻的微博视频 评论：4月29日国内多家金店品牌金饰价格出现下调 || 4月29日国内多家金店品牌足金饰品价格出现显著下调周生生报价1404元克跌34元老凤祥1415元克跌24元六福珠宝1408元克跌32元周大福1410元克跌32元金饰克价一夜跌幅在24至34元之间呈现断崖查看全部戳gt微博智搜 || 这是断崖式下跌', '五一假期将至电影市场热度升温电影平台数据显示截至30日下午14时五一档电影预售票房突破6680万元今年五一档近20部新片扎堆上映涵盖革命烈士题材喜剧动作悬疑动画等多种类型数量创下近年新高为观众提供丰富多样的观影选择 央视网  央视网的微博视频']",金价波动与五一档热度,金融经济
6,11,6_广州_科技_资源_项目,"['广州', '科技', '资源', '项目', '助力', '流量', '品牌', '国际', '方面', '城市']","['预计今年三季度正式投入运营4月28日全球科技巨头谷歌Google正式签订合同入驻位于天河CBD珠江新城的城市地标广州国际金融中心西塔将率先落地跨境数智赋能服务创新项目预计今年第三季度正式投入运营谷歌方面将联合各方优势资源推出多项国内首创科技服务谷歌入驻天河CBD预计今年三季度正式投入运营 评论：不错我的大羊城要越来越好 || 某度岂不是要那个啥了 || 是不是全球化回来广东真是个开放包容城市天河这个金融区今年又增长多少个点', '预计今年三季度正式投入运营据广州日报消息4月28日谷歌正式签订合同入驻天河CBD珠江新城的广州国际金融中心西塔将率先落地跨境数智赋能服务创新项目预计今年第三季度投入运营谷歌将联合各方优势资源推出多项创新科技服务助力跨境电商企业出海同时谷歌将在广州天河整合全球领先的科技资源为内地跨境电商企业提供海外精准营销国际化品牌打造数字化技术赋能全球流量对接等全链条服务帮助企业降低出海成本提升运营效率推动中国制造向中国品牌加速转型并在珠江新城加速一批跨境数智服务企业集聚形成新的出海生态', '助力跨境电商企业出海4月28日全球科技巨头谷歌Google正式签订合同入驻位于天河CBD珠江新城的城市地标广州国际金融中心西塔将率先落地跨境数智赋能服务创新项目预计今年第三季度正式投入运营谷歌方面将联合各方优势资源推出多项创新科技服务将助力跨境电商企业出海据了解谷歌将在广州天河整合全球领先的科技资源为内地跨境电商企业提供近距离的海外精准营销国际化品牌打造数字化技术赋能全球流量对接等全链条服务背靠谷歌在全球领先的科技实力不仅帮助企业降低出海成本提升运营效率推动中国制造加速向中国品牌转型更将在广州国际级CBD核心区珠江新城加速一批跨境数智服务企业集聚形成新的出海生态此次谷歌选择扎根珠江新城是对广州城市能级与天河产业实力的高度认可文图广州日报新花城记者何钻莹 通讯员投资天河 评论：广州欢迎你开放才是硬道理 || 还以为真的回来了白高兴一下子了顺便说百度太tm垃圾 || 能不能把你的 ai 带进来']",谷歌入驻广州助力跨境电商,金融经济
7,10,7_国际_环境_双方_舆论,"['国际', '环境', '双方', '舆论', '小孩', '流程', '能力', '姐姐', '氛围', '争议']","['国服amp国际服宁芙奖排名速报13点50分统计国服No1囚徒38818万No2约瑟夫35876万No3小女孩2633万No4红夫人21631万No5入殓师11043万No6骑士7382万国际服No1红夫人2046万No2愚人金1632万No3骑士1587万No4小女孩974377No5先知92391第五人格 评论：电儿加油电儿稳住', '第五人格骑士 关于小女孩骑士合作说明今天上午小女孩方主持人主动找到我方说明换票想法并给出了比例由于我方并未接触过宁芙跨服换票合作所以对换票比例全程无异议合作发出后很多人讨论换票比例不合理我方因此主动提出修改最终定下了18的换票比例然而考虑到双方均是初次参与不同服换票对此了解不到位同时各平台舆论较大对两家均有影响因此小女孩方与我方良好沟通后决定停止后续换票以18的比例将现已投出的票数清算 目前小女孩给骑士国际投票总计263飘骑士方应还2104 评论：目前小女孩给骑士国际投票总计263飘骑士方应还2104 || 能不能把兑换票数公布一下现在不知真相的路人在骂骑士 || 可以问问约瑟夫吗我看他们那边国服出道更大', '第五人格小女孩  合作终止公告各位孩厨骑厨下午好此前换票比例规划不周流程安排仓促引发大量争议内耗与舆论风波辜负了大家长久以来的信任与支持对此我们深感愧疚我们在此郑重致歉换票争议的持续发酵已经严重破坏角色超话氛围与和睦相处环境违背换票初心为维护良好同人环境停止无意义争吵经过讨论管理组一致决定终止合作已进行的投票会按比例还票最后本次换票合作的提出及比例的调整均由我方提出再次双方厨子表达深深的歉意 评论：评论区核心诉求是停止内耗全力冲刺宁芙奖投票45呼吁专注投票止损30要求追责决策者卸任15拒绝集体买单并坚持自费还票10质疑换票比例与管理动机粉丝群体在保角色与清队伍间寻求平衡信任裂痕已现继续提问戳gt微博智搜 || 藏好真心肝哈 || 卸任大姐姐不管你啥成分都是没能力好不好']",跨服换票风波,娱乐八卦
8,10,8_儿子_父母_风波_关系,"['儿子', '父母', '风波', '关系', '孙杨', '节目组', '压力', '全程', '助力', '妈妈']","['上海体育大学官网2018年9月19日曾发文分享奥运冠军孙杨新生入学第一天与在校师生分享体育感悟活动中孙杨回忆了从2008年第一次参加奥运会到今天成就泳坛的全满贯的历程他谈到了过程中的挑战与困难也分享了那些荣耀背后不为人知的艰苦和努力并表达了对大学博士学习和生活的期待孙杨表示自己在1995年就曾经来过上海体育学院因为他的父母都是该校85级毕业生也因此结缘相识相知相爱而当谈到最想要感谢的人他首先便提到了自己的父母在活动中孙杨的父亲孙全洪先生也受邀上台分享了自己在校学习的经历他表示自己对母校充满了自豪与感激也正是因为对于母校的深厚感情他们支持孙杨选择上海体育学院作为自己求学深造的学府孙全洪表示家庭是孩子的第一所学校父母是孩子的第一任老师非常高兴从今天起我和孙杨从父子变成了校友扬子晚报   羊城晚报的微博视频', '为什么大家都说孙杨是妈宝男我倒觉得这个标签下得有点太过于轻率第一他的成绩摆在那十几岁就拿世界冠军是中国男子游泳第一个奥运金牌得主这种成就不是靠妈宝能拿到的背后是十几年高强度自律和抗压能力第二他经历过真正的低谷禁赛风波让他从巅峰跌到谷底能从那种局面里调整心态重新出发需要相当强的心理韧性第三关于妈宝这个标签我觉得要分清楚两件事和妈妈关系亲近不等于没主见从小练体育的男孩生活圈子比演艺圈单纯得多他们在镜头前不会像老艺人那样精于人设管理反而更容易暴露真实的一面包括笨拙要面子不会处理关系这些缺点是真实的但和妈宝是两回事围观群众喜欢用一个标签解释一切但人是复杂的竞技场上的强者回到生活里也可能是个不太会沟通的普通男人 评论：我看过一段视频显示他一切都是他妈妈做决定的包括有时候采访者问他一些问题都是他妈妈替他回答 || 是看了那个综艺吧觉得他媳妇脾气太好了小地瓜上沸沸扬扬都在传他的私生子长的和他爹极像 || 理性分析还得看我宝姐', '孙杨禁赛风波再翻红亲妈竟是反向神助攻家人们谁懂啊道哥今天又挖到古早大瓜还是自带反转buff的那种提起孙杨咱最先想到的都是碧波泳池里拿金牌拿到手软的王者3枚奥运金牌11枚世锦赛金牌妥妥的中国游泳传奇可谁能想到这位天才运动员的职业生涯竟被亲妈杨明的爱之操作搅成了一场大型帮倒忙现场禁赛风波的瓜至今嚼着还上头话不多说道哥带你们复盘这场史诗级护犊子翻车事件全程高能笑点与槽点齐飞一切的源头还要从2018年那场闹得沸沸扬扬的兴奋剂检测说起当时检测人员上门孙杨方对资质存疑最终没完成检测后续就被WADA上诉到了国际体育仲裁法庭CAS一场关乎职业生涯的听证会就此拉开序幕重点来了孙杨妈妈杨明以证人身份出庭本以为是来救场的结果直接把庄严的国际法庭变成了自己的情绪发泄菜市场主打一个我儿没错你们都不懂的倔强WADA律师提问时她疯狂打断抢话顾左右而言他法官追问你儿子是不是撕毁了兴奋剂检查单这个核心问题她倒好像按了复读机反复扯些无关细节主打一个答非所问逻辑混乱到离谱更绝的是这位妈妈还当场情绪失控扬言要报警把仲裁庭当成了自家客厅完全无视法庭规则和主检官的警告最后CAS给出的78页裁决书里足足12次提到杨明的名字还直截了当地定性她对她儿子起到了最无益的起到了最大的帮倒忙作用业内人士都直呼要是当时有个专业律师拦着孙杨也不至于一开始就被判8年禁赛亲妈这波操作直接把儿子送进了深渊可能有人会说妈妈护子心切可以理解但杨明的护犊子早就超出了常理堪称360度无死角掌控孙杨六年级还被她系鞋带17岁前生活起居全包办社交账号银行卡都由她管着硬生生把奥运冠军宠成了高需求巨婴连基本的是非判断都差点缺失更离谱的是这种过度干预还不止于禁赛风波早年孙杨和恩师朱志根闹掰背后是她插手为了不让孙杨穿赞助商衣服她直接大闹会场孙杨陷入无证驾驶私生活争议时她不教儿子反思反而第一时间删负面甩锅黑子主打一个我儿全对错的是全世界最近这波瓜还和综艺扯上了关系孙杨和老婆张豆豆上妻子的浪漫旅行马頔一句孙杨配不上你的综艺调侃本是活跃气氛的玩笑结果网传杨明深夜致电节目组女制片人吵了近两小时还要求删除这段发言吓得平台直接剪没了相关片段全网瞬间炸锅网友纷纷吐槽30多岁的大男人还得妈妈遥控指挥不过道哥也得客观说一句孙杨工作室很快就发声明辟谣了说这些传闻都是恶意捏造孙杨一家从未干涉节目组剪辑还说要追究造谣者的法律责任咱也不能轻信不实消息哈 评论：你喜欢孙杨吗 || 当然孙杨也不无辜 || 他妈妈净给他倒油']",孙杨母子风波,娱乐八卦
